,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,12,2018/10/14 11:50,3111,街角設置端末（店舗から）,0,905,5,1,,2018/10/14 12:05,2018/10/14 12:10,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/14 12:07,2018/10/14 12:07,2018/10/14 12:18,2018/10/14 12:18,2018/10/14 12:07,2018/10/14 12:07,0:05:04,0:05:04,,00,00,,,,,,
★,-,12,2018/10/14 11:52,3112,乗客アプリ（目的地から）,2132,824,9,1,,2018/10/14 12:01,2018/10/14 12:25,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 12:05,2018/10/14 12:05,2018/10/14 12:24,2018/10/14 12:30,2018/10/14 12:05,2018/10/14 12:05,0:24:00,0:24:00,,00,00,,,,,,
-,-,12,2018/10/14 12:06,3114,乗客アプリ（地図から）,2490,422,1,4,,2018/10/14 12:20,2018/10/14 12:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443704 139.651332,ホテルメルパルク横浜,2018/10/14 12:12,2018/10/14 12:12,2018/10/14 12:39,2018/10/14 12:39,,2018/10/14 12:06,0:11:50,0:47:20,,08,14,,,,,,
-,-,12,2018/10/14 12:06,3115,街角設置端末（地図から）,0,586,7,1,,2018/10/14 12:12,2018/10/14 12:26,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 12:15,2018/10/14 12:15,2018/10/14 12:42,2018/10/14 12:42,,2018/10/14 12:06,0:13:57,0:13:57,,00,06,,,,,,
-,-,12,2018/10/14 12:07,3116,乗客アプリ（目的地から）,2636,540,9,1,,2018/10/14 12:11,2018/10/14 12:20,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 12:15,2018/10/14 12:15,2018/10/14 12:25,2018/10/14 12:25,,2018/10/14 12:07,0:09:07,0:09:07,,00,03,,,,,,
-,-,12,2018/10/14 12:17,3117,街角設置端末（地図から）,0,747,2,1,,2018/10/14 12:30,2018/10/14 12:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/14 12:31,2018/10/14 12:31,2018/10/14 12:54,2018/10/14 12:54,,2018/10/14 12:17,0:12:09,0:12:09,,00,12,,,,,,
-,-,12,2018/10/14 12:24,3118,街角設置端末（地図から）,0,821,9,2,,2018/10/14 12:28,2018/10/14 12:46,35.45435 139.631762,横浜ロイヤルパークホテル,35.447541 139.644914,シルク博物館,2018/10/14 12:32,2018/10/14 12:32,2018/10/14 12:58,2018/10/14 12:58,,2018/10/14 12:24,0:18:16,0:36:32,,00,04,,,,,,
-,-,12,2018/10/14 12:26,3119,街角設置端末（店舗から）,0,629,8,2,,2018/10/14 12:33,2018/10/14 12:42,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 12:34,2018/10/14 12:34,2018/10/14 12:51,2018/10/14 12:43,,2018/10/14 12:26,0:08:44,0:17:28,,00,07,,,,,,
★,-,12,2018/10/14 12:29,3120,乗客アプリ（地図から）,1669,625,10,2,,2018/10/14 12:39,2018/10/14 12:47,35.441002 139.650809,横浜元町ショッピングストリート,35.447546 139.64358,横浜開港資料館,2018/10/14 12:46,2018/10/14 12:46,2018/10/14 12:58,2018/10/14 12:58,2018/10/14 12:43,2018/10/14 12:43,0:08:16,0:16:32,,00,00,,,,,,
-,-,12,2018/10/14 12:33,3121,乗客アプリ（目的地から）,2772,955,1,3,,2018/10/14 12:48,2018/10/14 12:56,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 12:36,2018/10/14 12:36,2018/10/14 12:53,2018/10/14 12:53,,2018/10/14 12:33,0:08:29,0:25:27,,11,14,,,,,,
