時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 13:26,808,街角設置端末（店舗から）,0,462,4,1,,2018/10/5 13:34,2018/10/5 13:45,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 13:37,2018/10/5 13:37,2018/10/5 13:48,2018/10/5 13:56,,0:10:36,0:10:36,,08,,,
,2018/10/5 13:32,810,街角設置端末（店舗から）,0,930,4,2,,2018/10/5 13:38,2018/10/5 13:45,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 13:43,2018/10/5 13:43,2018/10/5 13:57,2018/10/5 13:57,,0:07:16,0:14:32,,06,,,
,2018/10/5 13:33,812,乗客アプリ（簡単予約）,1121,1292,3,1,,2018/10/5 13:39,2018/10/5 13:46,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 13:44,2018/10/5 13:44,2018/10/5 13:55,2018/10/5 13:55,,0:06:27,0:06:27,,05,,,
,2018/10/5 13:45,815,乗客アプリ（地図から）,1205,584,4,3,,2018/10/5 13:50,2018/10/5 13:56,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 13:48,2018/10/5 13:48,2018/10/5 14:02,2018/10/5 14:02,,0:06:14,0:18:42,,04,,,
,2018/10/5 13:45,816,乗客アプリ（目的地から）,1208,1033,1,1,,2018/10/5 13:46,2018/10/5 14:10,35.453715 139.638133,横浜ワールドポーターズ,35.443704 139.651332,ホテルメルパルク横浜,2018/10/5 13:48,2018/10/5 13:48,2018/10/5 14:06,2018/10/5 14:06,,0:23:09,0:23:09,,00,,,
,2018/10/5 13:48,817,街角設置端末（地図から）,0,849,3,2,,2018/10/5 13:52,2018/10/5 13:58,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/10/5 13:55,2018/10/5 13:55,2018/10/5 14:11,2018/10/5 14:11,,0:06:10,0:12:20,,04,,,
,2018/10/5 13:49,818,街角設置端末（店舗から）,0,1280,1,2,,2018/10/5 13:54,2018/10/5 14:05,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/5 13:54,2018/10/5 13:54,2018/10/5 14:10,2018/10/5 14:10,,0:11:02,0:22:04,,04,,,
,2018/10/5 13:02,804,乗客アプリ（地図から）,988,1085,5,1,2018/10/5 13:03,,,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 13:10,,2018/10/5 13:25,,,,,,07,,,
,2018/10/5 13:57,820,乗客アプリWeb（目的地から）,1070,969,5,1,2018/10/5 13:58,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 14:00,,2018/10/5 14:11,,2018/10/5 13:49,,,,11,,,
,2018/10/5 13:31,809,乗客アプリ（目的地から）,978,628,5,1,2018/10/5 13:41,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 13:35,,2018/10/5 13:45,,,,,,03,,,
,2018/10/5 14:00,821,乗客アプリ（目的地から）,1212,382,5,2,,2018/10/5 14:07,2018/10/5 14:09,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 14:08,2018/10/5 14:10,2018/10/5 14:20,2018/10/5 14:27,,0:02:24,0:04:48,243,06,06,,
,2018/10/5 14:03,822,乗客アプリ（地図から）,1196,371,4,1,,2018/10/5 14:06,2018/10/5 14:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/5 14:06,2018/10/5 14:06,2018/10/5 14:24,2018/10/5 14:26,,0:11:48,0:11:48,,03,,,
★,2018/10/5 13:36,814,乗客アプリ（目的地から）,1200,962,7,1,,2018/10/5 14:29,2018/10/5 14:37,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/5 14:30,2018/10/5 14:34,2018/10/5 14:41,2018/10/5 14:46,2018/10/5 14:30,0:07:46,0:07:46,,00,,,
,2018/10/5 14:05,824,街角設置端末（地図から）,0,859,4,1,,2018/10/5 14:11,2018/10/5 14:28,35.45435 139.631762,横浜ロイヤルパークホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/5 14:13,2018/10/5 14:13,2018/10/5 14:41,2018/10/5 14:41,,0:17:53,0:17:53,,05,,,
,2018/10/5 14:06,826,街角設置端末（店舗から）,0,1212,3,2,,2018/10/5 14:15,2018/10/5 14:20,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 14:14,2018/10/5 14:14,2018/10/5 14:23,2018/10/5 14:23,,0:04:35,0:09:10,,08,,,
,2018/10/5 14:07,827,乗客アプリ（地図から）,1218,472,5,1,,2018/10/5 14:18,2018/10/5 14:23,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/5 14:15,2018/10/5 14:22,2018/10/5 14:31,2018/10/5 14:32,,0:05:28,0:05:28,,11,,,
,2018/10/5 14:14,831,乗客アプリWeb（地図から）,1044,1280,8,1,,2018/10/5 14:19,2018/10/5 14:25,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 14:16,2018/10/5 14:16,2018/10/5 14:30,2018/10/5 14:30,,0:06:27,0:06:27,,04,,,
,2018/10/5 14:15,832,街角設置端末（店舗から）,0,1254,10,2,,2018/10/5 14:24,2018/10/5 14:36,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 14:25,2018/10/5 14:25,2018/10/5 14:40,2018/10/5 14:40,,0:11:52,0:23:44,,09,,,
,2018/10/5 14:18,835,乗客アプリ（地図から）,1123,1242,9,1,,2018/10/5 14:19,2018/10/5 14:36,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:26,2018/10/5 14:26,2018/10/5 14:41,2018/10/5 14:42,,0:17:30,0:17:30,,00,,,
,2018/10/5 14:19,836,乗客アプリ（地図から）,1178,915,9,1,,2018/10/5 14:28,2018/10/5 14:35,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:27,2018/10/5 14:27,2018/10/5 14:42,2018/10/5 14:51,,0:07:20,0:07:20,,08,,,
,2018/10/5 14:24,838,乗客アプリ（地図から）,1176,1032,9,1,,2018/10/5 14:28,2018/10/5 14:34,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:35,2018/10/5 14:35,2018/10/5 14:50,2018/10/5 14:51,2018/10/5 14:35,0:05:44,0:05:44,,03,,,
,2018/10/5 14:24,839,乗客アプリ（地図から）,1124,841,9,1,,2018/10/5 14:34,2018/10/5 14:35,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:35,2018/10/5 14:35,2018/10/5 14:50,2018/10/5 14:50,2018/10/5 14:35,0:01:19,0:01:19,,09,,,
,2018/10/5 14:27,840,街角設置端末（店舗から）,0,660,8,1,,2018/10/5 14:32,2018/10/5 14:50,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:34,2018/10/5 14:34,2018/10/5 14:54,2018/10/5 14:54,,0:18:24,0:18:24,,05,,,
,2018/10/5 14:35,845,乗客アプリ（地図から）,1176,1047,7,1,,2018/10/5 14:45,2018/10/5 14:51,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:44,2018/10/5 14:45,2018/10/5 14:59,2018/10/5 15:00,,0:06:42,0:06:42,,09,,,
,2018/10/5 14:36,846,乗客アプリ（目的地から）,1224,1097,8,2,,2018/10/5 14:41,2018/10/5 14:47,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 14:44,2018/10/5 14:44,2018/10/5 15:00,2018/10/5 15:00,,0:06:06,0:12:12,,05,,,
,2018/10/5 14:37,850,乗客アプリ（地図から）,1124,1291,7,1,,2018/10/5 14:45,2018/10/5 14:51,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:44,2018/10/5 14:44,2018/10/5 15:00,2018/10/5 15:00,,0:06:42,0:06:42,,07,,,
,2018/10/5 14:38,852,乗客アプリ（目的地から）,1228,1051,9,2,,2018/10/5 14:46,2018/10/5 14:51,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 14:46,2018/10/5 14:46,2018/10/5 14:59,2018/10/5 14:59,2018/10/5 14:45,0:05:04,0:10:08,,07,,,
,2018/10/5 14:50,855,乗客アプリ（地図から）,1230,581,1,2,,2018/10/5 14:54,2018/10/5 15:23,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/5 14:57,2018/10/5 14:57,2018/10/5 15:16,2018/10/5 15:16,,0:28:20,0:56:40,,03,,,
,2018/10/5 14:59,859,街角設置端末（店舗から）,0,1139,8,1,,2018/10/5 15:02,2018/10/5 15:16,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/5 15:08,2018/10/5 15:08,2018/10/5 15:24,2018/10/5 15:24,,0:13:15,0:13:15,,03,,,
,2018/10/5 14:57,856,乗客アプリ（目的地から）,1233,1153,8,1,2018/10/5 14:57,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 15:07,,2018/10/5 15:22,,,,,,09,,,※74行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 14:58,858,乗客アプリ（目的地から）,1233,1143,8,1,2018/10/5 14:58,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 15:07,,2018/10/5 15:23,,,,,,,,,※73行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 14:03,823,乗客アプリ（目的地から）,990,830,8,1,2018/10/5 14:04,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 14:13,,2018/10/5 14:25,,2018/10/5 14:03,,,,10,,,
