,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,,
-,-,11,2018/10/7 11:35,1230,乗客アプリ（地図から）,1884,868,6,1,,2018/10/7 11:40,2018/10/7 11:47,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/7 11:44,2018/10/7 11:44,2018/10/7 11:54,2018/10/7 11:54,,0:07:49,0:07:49,,00,04,,,
-,-,11,2018/10/7 11:33,1229,乗客アプリ（地図から）,1896,1128,4,1,,2018/10/7 11:40,2018/10/7 11:53,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 11:44,2018/10/7 11:44,2018/10/7 12:13,2018/10/7 12:13,,0:13:04,0:13:04,,00,07,,,
-,-,11,2018/10/7 11:42,1233,乗客アプリWeb（目的地から）,1910,426,8,2,,2018/10/7 11:43,2018/10/7 12:00,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:47,2018/10/7 11:47,2018/10/7 12:02,2018/10/7 12:02,,0:17:33,0:35:06,,00,00,,,
-,-,11,2018/10/7 11:41,1232,乗客アプリ（目的地から）,1916,770,9,1,,2018/10/7 11:47,2018/10/7 11:59,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 11:47,2018/10/7 11:47,2018/10/7 12:01,2018/10/7 12:01,,0:11:29,0:11:29,,00,06,,,
-,-,11,2018/10/7 11:49,1234,街角設置端末（店舗から）,0,1055,8,2,,2018/10/7 11:52,2018/10/7 12:00,35.448676 139.635696,横浜平和プラザホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:54,2018/10/7 11:54,2018/10/7 12:05,2018/10/7 12:05,,0:07:52,0:15:44,,00,03,,,
-,-,11,2018/10/7 11:55,1236,乗客アプリ（目的地から）,1338,1155,7,1,,2018/10/7 11:59,2018/10/7 12:14,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/7 11:59,2018/10/7 11:59,2018/10/7 12:28,2018/10/7 12:28,,0:15:23,0:15:23,,00,03,,,
-,-,11,2018/10/7 11:58,1237,街角設置端末（店舗から）,0,741,5,2,,2018/10/7 12:04,2018/10/7 12:24,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜,2018/10/7 12:05,2018/10/7 12:05,2018/10/7 12:25,2018/10/7 12:25,,0:19:35,0:39:10,,00,06,,,
★,☆,11,2018/10/7 10:42,1209,乗客アプリ（目的地から）,1700,1166,8,1,2018/10/7 10:43,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 11:09,,2018/10/7 11:24,,2018/10/7 11:05,,,,00,04,,,
★,☆,11,2018/10/7 11:04,1217,乗客アプリ（地図から）,1621,937,6,4,2018/10/7 11:04,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:17,,2018/10/7 11:37,,2018/10/7 11:10,,,,00,06,,,
★,☆,11,2018/10/7 11:24,1226,乗客アプリWeb（目的地から）,1910,615,8,2,2018/10/7 11:41,,,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:39,,2018/10/7 11:54,,2018/10/7 11:38,,,,02,01,,,
-,☆,11,2018/10/7 11:59,1238,乗客アプリ（目的地から）,1919,1233,6,1,2018/10/7 11:59,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/7 12:17,,2018/10/7 12:26,,,,,,00,18,,,
★,-,12,2018/10/7 11:52,1235,乗客アプリ（地図から）,1889,1082,7,1,,2018/10/7 12:02,2018/10/7 12:06,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.445857 139.647636,ホテルモントレ横浜,2018/10/7 12:05,2018/10/7 12:05,2018/10/7 12:12,2018/10/7 12:12,2018/10/7 12:05,0:04:00,0:04:00,500,00,00,06,,
★,-,12,2018/10/7 11:28,1228,乗客アプリ（地図から）,1436,701,10,2,,2018/10/7 12:06,2018/10/7 12:38,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:15,2018/10/7 12:15,2018/10/7 12:39,2018/10/7 12:39,2018/10/7 12:15,0:31:45,1:03:30,,00,00,,,
-,-,12,2018/10/7 12:02,1240,街角設置端末（地図から）,0,1085,9,1,,2018/10/7 12:06,2018/10/7 12:09,35.443704 139.651332,ホテルメルパルク横浜,35.445857 139.647636,ホテルモントレ横浜,2018/10/7 12:06,2018/10/7 12:06,2018/10/7 12:11,2018/10/7 12:11,,0:02:51,0:02:51,,00,03,,,
-,-,12,2018/10/7 12:03,1242,乗客アプリ（地図から）,1892,934,1,2,,2018/10/7 12:10,2018/10/7 12:25,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 12:11,2018/10/7 12:11,2018/10/7 12:32,2018/10/7 12:32,,0:15:11,0:30:22,,00,06,,,
-,-,12,2018/10/7 12:07,1244,街角設置端末（店舗から）,0,1170,10,1,,2018/10/7 12:10,2018/10/7 12:16,35.45435 139.631762,横浜ロイヤルパークホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/7 12:11,2018/10/7 12:11,2018/10/7 12:18,2018/10/7 12:18,,0:05:52,0:05:52,,00,02,,,
-,-,12,2018/10/7 12:01,1239,街角設置端末（店舗から）,0,992,8,1,,2018/10/7 12:11,2018/10/7 12:20,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/7 12:12,2018/10/7 12:14,2018/10/7 12:26,2018/10/7 12:27,,0:09:10,0:09:10,,00,10,,,
-,-,12,2018/10/7 12:03,1241,街角設置端末（地図から）,0,328,8,1,,2018/10/7 12:11,2018/10/7 12:27,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 12:13,2018/10/7 12:14,2018/10/7 12:43,2018/10/7 12:44,,0:15:40,0:15:40,,00,08,,,
-,-,12,2018/10/7 12:11,1246,街角設置端末（地図から）,0,1197,9,1,,2018/10/7 12:13,2018/10/7 12:22,35.445783 139.642958,横浜情報文化センター,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 12:16,2018/10/7 12:16,2018/10/7 12:38,2018/10/7 12:38,,0:08:15,0:08:15,,00,02,,,
-,-,12,2018/10/7 12:17,1247,乗客アプリ（地図から）,1338,993,2,1,,2018/10/7 12:22,2018/10/7 12:34,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 12:25,2018/10/7 12:25,2018/10/7 12:39,2018/10/7 12:50,,0:11:55,0:11:55,,00,05,,,
-,-,12,2018/10/7 12:21,1249,街角設置端末（地図から）,0,1029,10,1,,2018/10/7 12:28,2018/10/7 12:37,35.445857 139.647636,ホテルモントレ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/7 12:28,2018/10/7 12:28,2018/10/7 12:44,2018/10/7 12:44,,0:08:59,0:08:59,,00,06,,,
-,-,12,2018/10/7 12:27,1250,乗客アプリ（目的地から）,1752,1211,1,2,,2018/10/7 12:31,2018/10/7 12:40,35.443863 139.64702,ローズホテル横浜,35.454389 139.630904,横浜ランドマークタワー,2018/10/7 12:31,2018/10/7 12:31,2018/10/7 12:59,2018/10/7 12:59,,0:08:19,0:16:38,,00,04,,,
