,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
-,-,11,2018/10/11 11:47,2301,乗客アプリ（目的地から）,2303,1243,7,2,,2018/10/11 11:49,2018/10/11 11:54,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/11 11:53,2018/10/11 11:53,2018/10/11 12:03,2018/10/11 12:01,,2018/10/11 11:47,0:04:40,0:09:20,,00,02,,,,
-,-,11,2018/10/11 11:49,2302,街角設置端末（地図から）,0,1110,8,2,,2018/10/11 11:55,2018/10/11 12:11,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜,2018/10/11 11:58,2018/10/11 11:58,2018/10/11 12:18,2018/10/11 12:18,,2018/10/11 11:49,0:15:44,0:31:28,,00,06,,,,
-,-,11,2018/10/11 11:53,2306,街角設置端末（地図から）,0,1149,10,1,,2018/10/11 11:56,2018/10/11 12:06,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 11:55,2018/10/11 11:55,2018/10/11 12:12,2018/10/11 12:12,,2018/10/11 11:53,0:10:03,0:10:03,,00,03,,,,
★,-,11,2018/10/11 11:54,2307,乗客アプリ（目的地から）,2351,1293,5,2,,2018/10/11 11:59,2018/10/11 12:05,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/10/11 12:01,2018/10/11 12:01,2018/10/11 12:17,2018/10/11 12:17,2018/10/11 11:54,2018/10/11 11:54,0:06:01,0:12:02,,00,05,,,,
-,-,11,2018/10/11 11:58,2309,街角設置端末（店舗から）,0,393,7,1,,2018/10/11 12:02,2018/10/11 12:09,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/11 12:01,2018/10/11 12:01,2018/10/11 12:14,2018/10/11 12:14,,2018/10/11 11:58,0:07:06,0:07:06,,00,04,,,,
-,☆,11,2018/10/11 11:50,2304,乗客アプリ（地図から）,2314,906,4,1,2018/10/11 11:50,,,35.443704 139.651332,ホテルメルパルク横浜,35.447541 139.644914,シルク博物館,2018/10/11 11:59,,2018/10/11 12:06,,,2018/10/11 11:50,0:00:00,0:00:00,,00,09,,,,
★,-,12,2018/10/11 12:13,2311,乗客アプリ（目的地から）,2408,1073,6,2,,2018/10/11 12:20,2018/10/11 12:29,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/11 12:20,2018/10/11 12:20,2018/10/11 12:32,2018/10/11 12:37,2018/10/11 12:20,2018/10/11 12:20,0:08:56,0:17:52,99,00,00,04,03,,
-,-,12,2018/10/11 12:17,2312,乗客アプリ（目的地から）,2437,1032,2,2,,2018/10/11 12:21,2018/10/11 12:26,35.452963 139.642093,横浜赤レンガ倉庫,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/11 12:19,2018/10/11 12:19,2018/10/11 12:30,2018/10/11 12:30,,2018/10/11 12:17,0:05:40,0:11:20,,01,03,,,,
-,-,12,2018/10/11 12:19,2313,乗客アプリ（地図から）,1771,1262,6,1,,2018/10/11 12:20,2018/10/11 12:26,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/11 12:21,2018/10/11 12:21,2018/10/11 12:31,2018/10/11 12:31,,2018/10/11 12:19,0:06:34,0:06:34,,00,00,,,,
-,-,12,2018/10/11 12:26,2314,乗客アプリ（目的地から）,2314,752,9,1,,2018/10/11 12:30,2018/10/11 12:38,35.447541 139.644914,シルク博物館,35.448676 139.635696,横浜平和プラザホテル,2018/10/11 12:29,2018/10/11 12:29,2018/10/11 12:38,2018/10/11 12:41,,2018/10/11 12:26,0:08:14,0:08:14,,00,04,,,,
-,-,12,2018/10/11 12:26,2315,街角設置端末（店舗から）,0,762,9,1,,2018/10/11 12:34,2018/10/11 12:42,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/10/11 12:33,2018/10/11 12:33,2018/10/11 12:51,2018/10/11 12:51,,2018/10/11 12:26,0:08:27,0:08:27,,00,07,,,,
-,-,12,2018/10/11 12:42,2318,乗客アプリ（目的地から）,2314,1262,7,1,,2018/10/11 12:45,2018/10/11 12:51,35.448676 139.635696,横浜平和プラザホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/11 12:44,2018/10/11 12:44,2018/10/11 12:53,2018/10/11 12:53,,2018/10/11 12:42,0:06:15,0:06:15,,00,02,,,,
-,-,12,2018/10/11 12:43,2319,街角設置端末（地図から）,0,744,3,1,,2018/10/11 12:46,2018/10/11 12:50,35.447541 139.644914,シルク博物館,35.443073 139.651914,横浜人形の家,2018/10/11 12:46,2018/10/11 12:46,2018/10/11 12:53,2018/10/11 12:53,,2018/10/11 12:43,0:03:33,0:03:33,,00,03,,,,
-,-,12,2018/10/11 12:48,2320,乗客アプリ（目的地から）,985,603,1,1,,2018/10/11 12:53,2018/10/11 13:05,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/11 12:53,2018/10/11 12:53,2018/10/11 13:09,2018/10/11 13:09,,2018/10/11 12:48,0:12:10,0:12:10,,00,05,,,,
-,-,12,2018/10/11 12:49,2321,乗客アプリ（地図から）,2362,1100,4,2,,2018/10/11 12:52,2018/10/11 13:04,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/11 12:53,2018/10/11 12:53,2018/10/11 13:18,2018/10/11 13:18,,2018/10/11 12:49,0:12:33,0:25:06,,00,02,,,,
-,☆,12,2018/10/11 12:35,2316,乗客アプリ（地図から）,2361,1173,2,2,2018/10/11 12:50,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/11 12:42,,2018/10/11 13:07,,,2018/10/11 12:35,0:00:00,0:00:00,,00,14,,,,
-,☆,12,2018/10/11 12:41,2317,乗客アプリ（目的地から）,2314,1039,7,1,2018/10/11 12:41,,,35.448676 139.635696,横浜平和プラザホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/11 12:44,,2018/10/11 12:52,,,2018/10/11 12:41,0:00:00,0:00:00,,00,02,,,,
★,-,13,2018/10/11 10:14,2276,街角設置端末（地図から）,0,856,5,1,,2018/10/11 13:46,2018/10/11 14:04,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/11 13:55,2018/10/11 13:55,2018/10/11 14:17,2018/10/11 14:33,2018/10/11 13:55,2018/10/11 13:55,0:18:16,0:18:16,145,00,00,04,04,,
-,-,13,2018/10/11 13:00,2323,乗客アプリ（地図から）,1103,1093,9,1,,2018/10/11 13:04,2018/10/11 13:09,35.452963 139.642093,横浜赤レンガ倉庫,35.443659 139.650847,横浜マリンタワー,2018/10/11 13:03,2018/10/11 13:03,2018/10/11 13:17,2018/10/11 13:17,,2018/10/11 13:00,0:04:24,0:04:24,,00,03,,,,
-,-,13,2018/10/11 13:02,2324,街角設置端末（地図から）,0,395,4,1,,2018/10/11 13:08,2018/10/11 13:13,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/11 13:10,2018/10/11 13:10,2018/10/11 13:23,2018/10/11 13:23,,2018/10/11 13:02,0:04:50,0:04:50,,00,05,,,,
-,-,13,2018/10/11 13:12,2326,街角設置端末（地図から）,0,1166,1,1,,2018/10/11 13:16,2018/10/11 13:20,35.443073 139.651914,横浜人形の家,35.447541 139.644914,シルク博物館,2018/10/11 13:16,2018/10/11 13:16,2018/10/11 13:25,2018/10/11 13:25,,2018/10/11 13:12,0:03:33,0:03:33,,00,04,,,,
-,-,13,2018/10/11 13:15,2327,街角設置端末（地図から）,0,879,4,1,,2018/10/11 13:18,2018/10/11 13:27,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/11 13:20,2018/10/11 13:20,2018/10/11 13:34,2018/10/11 13:34,,2018/10/11 13:15,0:08:46,0:08:46,,00,03,,,,
★,-,13,2018/10/11 13:36,2331,乗客アプリ（地図から）,2219,452,2,1,,2018/10/11 13:50,2018/10/11 14:03,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/11 13:48,2018/10/11 13:48,2018/10/11 13:59,2018/10/11 14:08,2018/10/11 13:45,2018/10/11 13:45,0:13:11,0:13:11,,02,04,,,,
-,-,13,2018/10/11 13:40,2332,街角設置端末（地図から）,0,1071,1,2,,2018/10/11 13:45,2018/10/11 13:53,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/11 13:47,2018/10/11 13:47,2018/10/11 14:01,2018/10/11 14:01,,2018/10/11 13:40,0:07:55,0:15:50,,00,05,,,,
-,-,13,2018/10/11 13:42,2333,乗客アプリ（目的地から）,2314,597,6,1,,2018/10/11 13:49,2018/10/11 14:01,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/11 13:51,2018/10/11 13:51,2018/10/11 14:17,2018/10/11 14:17,,2018/10/11 13:42,0:12:21,0:12:21,,00,06,,,,
-,-,13,2018/10/11 13:43,2334,乗客アプリ（目的地から）,1038,1272,7,1,,2018/10/11 13:48,2018/10/11 13:55,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 13:49,2018/10/11 13:49,2018/10/11 14:04,2018/10/11 14:04,,2018/10/11 13:43,0:07:26,0:07:26,,00,04,,,,
-,-,13,2018/10/11 13:49,2335,乗客アプリ（目的地から）,2408,1215,5,2,,2018/10/11 13:54,2018/10/11 13:59,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/11 14:00,2018/10/11 14:00,2018/10/11 14:24,2018/10/11 14:24,,2018/10/11 13:49,0:04:58,0:09:56,,00,04,,,,
-,-,13,2018/10/11 13:50,2336,街角設置端末（店舗から）,0,431,2,4,,2018/10/11 14:02,2018/10/11 14:09,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/11 13:55,2018/10/11 13:55,2018/10/11 14:18,2018/10/11 14:18,,2018/10/11 13:50,0:06:35,0:26:20,,07,12,,,,
-,-,13,2018/10/11 13:53,2337,街角設置端末（地図から）,0,888,3,1,,2018/10/11 14:02,2018/10/11 14:11,35.441002 139.650809,横浜元町ショッピングストリート,35.443908 139.635249,イセザキ・モール,2018/10/11 14:03,2018/10/11 14:03,2018/10/11 14:18,2018/10/11 14:18,,2018/10/11 13:53,0:09:36,0:09:36,,00,08,,,,
-,-,13,2018/10/11 13:57,2338,乗客アプリ（目的地から）,985,594,7,1,,2018/10/11 14:03,2018/10/11 14:14,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/11 14:02,2018/10/11 14:02,2018/10/11 14:18,2018/10/11 14:18,,2018/10/11 13:57,0:11:04,0:11:04,,00,05,,,,
★,☆,13,2018/10/11 11:29,2298,乗客アプリ（目的地から）,2436,519,3,1,2018/10/11 11:29,,,35.448676 139.635696,横浜平和プラザホテル,35.454389 139.630904,横浜ランドマークタワー,2018/10/11 13:00,,2018/10/11 13:11,,2018/10/11 13:00,2018/10/11 13:00,0:00:00,0:00:00,,00,00,,,,
-,☆,13,2018/10/11 13:21,2328,乗客アプリ（地図から）,985,399,1,1,2018/10/11 13:22,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/11 13:24,,2018/10/11 13:41,,,2018/10/11 13:21,0:00:00,0:00:00,,00,03,,,,
★,☆,13,2018/10/11 13:24,2329,乗客アプリ（目的地から）,2314,1192,2,1,2018/10/11 13:41,,,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/11 13:40,,2018/10/11 13:57,,2018/10/11 13:40,2018/10/11 13:40,0:00:00,0:00:00,,00,01,,,,
