,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,計算用ダミー,,
-,☆,10,2018/11/15 10:12,005-192-BLUE,14182,乗客アプリ（地図から）,999,503,11,1,2018/11/15 10:12,,,35.441441 139.648505,横浜中華街朱雀門,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/15 10:22,,2018/11/15 10:27,,,2018/11/15 10:12,0:00:00,0:00:00,,00,10,,,2018/11/15 10:12,1900/1/0 0:00,43419.4250,#N/A,,,,
-,☆,10,2018/11/15 10:26,112-579-SUN 112-611-SUN,14187,乗客アプリ（地図から）,3711,596,9,2,2018/11/15 10:26,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/15 10:27,,2018/11/15 10:36,,,2018/11/15 10:26,0:00:00,0:00:00,,00,01,,,2018/11/15 10:26,1900/1/0 0:00,43419.43472222220,#N/A,,,,
★,☆,10,2018/11/15 10:29,103-748-SNOW,14191,乗客アプリ（目的地から）,1398,750,13,1,2018/11/15 10:29,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 10:39,,2018/11/15 10:54,,2018/11/15 10:39,2018/11/15 10:39,0:00:00,0:00:00,,00,00,,,2018/11/15 10:29,1900/1/0 0:00,43419.43680555560,#N/A,,,,
-,☆,10,2018/11/15 10:49,069-446-BANANA 069-445-BANANA,14198,乗客アプリ（地図から）,6200,868,1,2,2018/11/15 10:50,,,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:56,,2018/11/15 11:02,,,2018/11/15 10:49,0:00:00,0:00:00,,00,06,,,2018/11/15 10:49,1900/1/0 0:00,43419.45069444440,#N/A,,,,
★,-,11,2018/11/15 10:29,008-456-BLUE,14192,乗客アプリ（地図から）,2092,398,3,1,,2018/11/15 11:26,2018/11/15 11:38,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443704 139.651332,ホテルメルパルク横浜,2018/11/15 11:29,2018/11/15 11:29,2018/11/15 11:44,2018/11/15 11:44,2018/11/15 11:29,2018/11/15 11:29,0:12:26,0:12:26,350,00,00,04,04,2018/11/15 10:29,2018/11/15 11:38,43419.436805555643419.4847222222,肯定的,,,,
-,-,11,2018/11/15 11:00,063-898-BANANA,14203,まちかど端末（乗降ポイントから）,0,629,2,1,,2018/11/15 11:04,2018/11/15 11:13,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 11:05,2018/11/15 11:05,2018/11/15 11:13,2018/11/15 11:13,,2018/11/15 11:00,0:08:58,0:08:58,,00,04,,,2018/11/15 11:00,2018/11/15 11:13,43419.458333333343419.4673611111,#N/A,,,,
-,-,11,2018/11/15 11:03,106-006-SNOW 106-003-SNOW,14204,乗客アプリ（地図から）,2303,882,6,2,,2018/11/15 11:04,2018/11/15 11:11,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 11:05,2018/11/15 11:05,2018/11/15 11:15,2018/11/15 11:15,,2018/11/15 11:03,0:06:09,0:12:18,,00,01,,,2018/11/15 11:03,2018/11/15 11:11,43419.460416666743419.4659722222,肯定的,,,,
-,-,11,2018/11/15 11:04,009-151-BLUE,14205,まちかど端末（店舗から）,0,712,8,1,,2018/11/15 11:13,2018/11/15 11:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 11:12,2018/11/15 11:13,2018/11/15 11:18,2018/11/15 11:26,,2018/11/15 11:04,0:09:43,0:09:43,,01,08,,,2018/11/15 11:04,2018/11/15 11:23,43419.461111111143419.4743055556,#N/A,,,,
-,-,11,2018/11/15 11:05,113-583-SUN,14206,乗客アプリ（地図から）,5119,246,10,1,,2018/11/15 11:09,2018/11/15 11:22,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 11:09,2018/11/15 11:09,2018/11/15 11:26,2018/11/15 11:26,,2018/11/15 11:05,0:12:11,0:12:11,,00,04,,,2018/11/15 11:05,2018/11/15 11:22,43419.461805555643419.4736111111,肯定的,,,,
-,-,11,2018/11/15 11:06,050-577-STRAWBERRY 050-578-STRAWBERRY,14208,乗客アプリ（地図から）,5936,51,1,2,,2018/11/15 11:11,2018/11/15 11:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 11:10,2018/11/15 11:10,2018/11/15 11:25,2018/11/15 11:25,,2018/11/15 11:06,0:07:50,0:15:40,,00,04,,,2018/11/15 11:06,2018/11/15 11:18,43419.462543419.4708333333,#N/A,,,,
-,-,11,2018/11/15 11:08,069-446-BANANA,14209,乗客アプリ（地図から）,6200,921,5,1,,2018/11/15 11:10,2018/11/15 11:21,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 11:09,2018/11/15 11:09,2018/11/15 11:19,2018/11/15 11:19,,2018/11/15 11:08,0:11:25,0:11:25,,00,01,,,2018/11/15 11:08,2018/11/15 11:21,43419.463888888943419.4729166667,#N/A,,,,
★,-,11,2018/11/15 11:09,007-373-BLUE 019-637-RED,14210,乗客アプリ（簡単予約）,3203,637,8,2,,2018/11/15 11:16,2018/11/15 11:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/15 11:19,2018/11/15 11:19,2018/11/15 11:30,2018/11/15 11:30,2018/11/15 11:19,2018/11/15 11:19,0:11:00,0:22:00,,00,00,,,2018/11/15 11:09,2018/11/15 11:27,43419.464583333343419.4770833333,肯定的,,,,
-,-,11,2018/11/15 11:10,009-079-BLUE 009-078-BLUE,14212,乗客アプリ（目的地から）,3975,767,9,2,,2018/11/15 11:16,2018/11/15 11:28,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/15 11:18,2018/11/15 11:18,2018/11/15 11:32,2018/11/15 11:32,,2018/11/15 11:10,0:11:12,0:22:24,,00,05,,,2018/11/15 11:10,2018/11/15 11:28,43419.465277777843419.4777777778,肯定的,,,,
★,-,11,2018/11/15 11:14,068-313-BANANA,14213,乗客アプリ（目的地から）,4719,144,4,1,,2018/11/15 11:22,2018/11/15 11:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 11:24,2018/11/15 11:24,2018/11/15 11:37,2018/11/15 11:37,2018/11/15 11:24,2018/11/15 11:24,0:09:41,0:09:41,,00,00,,,2018/11/15 11:14,2018/11/15 11:32,43419.468055555643419.4805555556,#N/A,,,,
-,-,11,2018/11/15 11:14,028-186-GREEN 018-538-RED,14214,乗客アプリ（地図から）,4828,409,13,2,,2018/11/15 11:19,2018/11/15 11:24,35.447541 139.644914,シルク博物館,35.443908 139.635249,イセザキ・モール,2018/11/15 11:19,2018/11/15 11:19,2018/11/15 11:26,2018/11/15 11:26,,2018/11/15 11:14,0:05:18,0:10:36,,00,05,,,2018/11/15 11:14,2018/11/15 11:24,43419.468055555643419.475,#N/A,,,,
