,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,☆,10,2018/10/27 10:06,6888,乗客アプリ（目的地から）,1358,416,4,1,2018/10/27 10:07,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 10:15,,2018/10/27 10:27,,,2018/10/27 10:06,0:00:00,0:00:00,,00,09,,,2018/10/27 10:06,1900/1/0 0:00,43400.42083333330,#N/A,,※34行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/10/27 10:08,6890,乗客アプリ（目的地から）,1358,888,4,1,2018/10/27 10:09,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 10:18,,2018/10/27 10:29,,,2018/10/27 10:08,0:00:00,0:00:00,,00,,,,2018/10/27 10:08,1900/1/0 0:00,43400.42222222220,#N/A,,※33行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/10/27 10:11,6891,乗客アプリ（地図から）,4147,517,3,1,2018/10/27 10:21,,,35.445857 139.647636,ホテルモントレ横浜,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 10:23,,2018/10/27 10:44,,,2018/10/27 10:11,0:00:00,0:00:00,,00,11,,,2018/10/27 10:11,1900/1/0 0:00,43400.42430555560,#N/A,,,,
-,☆,10,2018/10/27 10:29,6900,まちかど設置端末（地図から）,0,1090,9,1,2018/10/27 10:33,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 10:34,,2018/10/27 10:50,,,2018/10/27 10:29,0:00:00,0:00:00,,00,05,,,2018/10/27 10:29,1900/1/0 0:00,43400.43680555560,#N/A,,,,
-,-,11,2018/10/27 11:02,6912,乗客アプリ（地図から）,4154,1054,8,2,,2018/10/27 11:05,2018/10/27 11:10,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 11:05,2018/10/27 11:05,2018/10/27 11:15,2018/10/27 11:15,,2018/10/27 11:02,0:05:32,0:11:04,287,00,02,04,04,2018/10/27 11:02,2018/10/27 11:10,43400.459722222243400.4652777778,#N/A,,,,
-,-,11,2018/10/27 11:02,6913,乗客アプリ（目的地から）,3855,841,10,2,,2018/10/27 11:07,2018/10/27 11:14,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 11:05,2018/10/27 11:05,2018/10/27 11:17,2018/10/27 11:17,,2018/10/27 11:02,0:06:51,0:13:42,,02,05,,,2018/10/27 11:02,2018/10/27 11:14,43400.459722222243400.4680555556,#N/A,,,,
-,-,11,2018/10/27 11:02,6914,乗客アプリ（地図から）,4124,372,1,2,,2018/10/27 11:06,2018/10/27 11:25,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/27 11:04,2018/10/27 11:06,2018/10/27 11:22,2018/10/27 11:27,,2018/10/27 11:02,0:18:36,0:37:12,,01,04,,,2018/10/27 11:02,2018/10/27 11:25,43400.459722222243400.4756944444,#N/A,,,,
-,-,11,2018/10/27 11:03,6915,まちかど設置端末（地図から）,0,874,1,1,,2018/10/27 11:12,2018/10/27 11:22,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/27 11:10,2018/10/27 11:10,2018/10/27 11:24,2018/10/27 11:24,,2018/10/27 11:03,0:09:41,0:09:41,,01,08,,,2018/10/27 11:03,2018/10/27 11:22,43400.460416666743400.4736111111,#N/A,,,,
-,-,11,2018/10/27 11:05,6916,まちかど設置端末（店舗から）,0,1234,6,2,,2018/10/27 11:09,2018/10/27 11:13,35.45435 139.631762,横浜ロイヤルパークホテル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/27 11:10,2018/10/27 11:11,2018/10/27 11:15,2018/10/27 11:16,,2018/10/27 11:05,0:03:51,0:07:42,,00,04,,,2018/10/27 11:05,2018/10/27 11:13,43400.461805555643400.4673611111,#N/A,,,,
-,-,11,2018/10/27 11:09,6919,乗客アプリ（地図から）,4153,808,3,3,,2018/10/27 11:14,2018/10/27 11:24,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 11:16,2018/10/27 11:16,2018/10/27 11:30,2018/10/27 11:30,,2018/10/27 11:09,0:10:32,0:31:36,,00,04,,,2018/10/27 11:09,2018/10/27 11:24,43400.464583333343400.475,肯定的,,,,
