,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
★,☆,10,2018/11/11 10:21,022-531-GREEN 022-556-GREEN,12387,乗客アプリ（地図から）,4834,48,6,2,2018/11/11 10:21,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/11 10:31,,2018/11/11 10:51,,2018/11/11 10:31,2018/11/11 10:31,0:00:00,0:00:00,,00,00,,,2018/11/11 10:21,1900/1/0 0:00,43415.431250,#N/A,,,
★,☆,10,2018/11/11 10:23,056-512-STRAWBERRY,12390,乗客アプリ（地図から）,5346,14,10,1,2018/11/11 10:24,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/11/11 10:33,,2018/11/11 10:57,,2018/11/11 10:33,2018/11/11 10:33,0:00:00,0:00:00,,00,00,,,2018/11/11 10:23,1900/1/0 0:00,43415.43263888890,#N/A,,,
-,☆,10,2018/11/11 10:45,166-606-agekke,12398,乗客アプリ（地図から）,1885,570,6,1,2018/11/11 11:02,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/11 10:50,,2018/11/11 10:58,,,2018/11/11 10:45,0:00:00,0:00:00,,00,17,,,2018/11/11 10:45,1900/1/0 0:00,43415.44791666670,#N/A,,,
-,☆,10,2018/11/11 10:50,068-156-BANANA 068-157-BANANA 068-152-BANANA,12402,乗客アプリ（目的地から）,5865,913,2,3,2018/11/11 10:51,,,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/11 11:00,,2018/11/11 11:08,,,2018/11/11 10:50,0:00:00,0:00:00,,00,09,,,2018/11/11 10:50,1900/1/0 0:00,43415.45138888890,#N/A,,,
★,-,11,2018/11/11 10:50,024-541-GREEN 024-540-GREEN,12401,乗客アプリ（地図から）,1857,318,5,2,,2018/11/11 11:43,2018/11/11 11:48,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/11 11:50,2018/11/11 11:50,2018/11/11 11:59,2018/11/11 11:59,2018/11/11 11:50,2018/11/11 11:50,0:04:50,0:09:40,574,00,00,05,04,2018/11/11 10:50,2018/11/11 11:48,43415.451388888943415.4916666667,肯定的,,,
★,-,11,2018/11/11 10:58,101-909-SNOW 101-910-SNOW,12407,乗客アプリ（地図から）,1669,185,13,2,,2018/11/11 11:12,2018/11/11 11:17,35.447546 139.64358,横浜開港資料館,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/11 11:08,2018/11/11 11:08,2018/11/11 11:21,2018/11/11 11:21,2018/11/11 11:08,2018/11/11 11:08,0:05:28,0:10:56,,03,03,,,2018/11/11 10:58,2018/11/11 11:17,43415.456944444443415.4701388889,#N/A,,,
-,-,11,2018/11/11 11:02,166-814-agekke 166-607-agekke,12408,乗客アプリ（地図から）,1338,615,8,2,,2018/11/11 11:09,2018/11/11 11:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/11 11:08,2018/11/11 11:09,2018/11/11 11:21,2018/11/11 11:22,,2018/11/11 11:02,0:10:38,0:21:16,,00,06,,,2018/11/11 11:02,2018/11/11 11:19,43415.459722222243415.4715277778,#N/A,,,
-,-,11,2018/11/11 11:02,167-523-CAKE,12409,乗客アプリWeb（地図から）,5879,826,3,3,,2018/11/11 11:06,2018/11/11 11:13,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/11 11:06,2018/11/11 11:06,2018/11/11 11:16,2018/11/11 11:16,,2018/11/11 11:02,0:06:30,0:19:30,,00,03,,,2018/11/11 11:02,2018/11/11 11:13,43415.459722222243415.4673611111,#N/A,,,
-,-,11,2018/11/11 11:05,166-698-agekke,12411,乗客アプリ（地図から）,1996,876,8,1,,2018/11/11 11:09,2018/11/11 11:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/11 11:10,2018/11/11 11:10,2018/11/11 11:21,2018/11/11 11:21,,2018/11/11 11:05,0:10:16,0:10:16,,00,04,,,2018/11/11 11:05,2018/11/11 11:19,43415.461805555643415.4715277778,#N/A,,,
-,-,11,2018/11/11 11:05,167-516-CAKE,12412,乗客アプリWeb（地図から）,5869,144,7,1,,2018/11/11 11:07,2018/11/11 11:18,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/11 11:07,2018/11/11 11:07,2018/11/11 11:18,2018/11/11 11:18,,2018/11/11 11:05,0:10:48,0:10:48,,00,02,,,2018/11/11 11:05,2018/11/11 11:18,43415.461805555643415.4708333333,#N/A,,,
