,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,計算用ダミー,
★,-,11,2018/11/1 11:21,8114,まちかど端末（店舗から）,0,421,1,1,,2018/11/1 12:19,2018/11/1 12:46,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 12:21,2018/11/1 12:21,2018/11/1 12:34,2018/11/1 12:42,2018/11/1 12:21,2018/11/1 12:21,0:26:09,0:26:09,,00,00,,,2018/11/1 11:21,2018/11/1 12:46,43405.472916666743405.5319444444,#N/A,,
-,-,11,2018/11/1 11:22,8115,まちかど端末（店舗から）,0,693,5,1,,2018/11/1 11:26,2018/11/1 11:35,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/1 11:26,2018/11/1 11:26,2018/11/1 11:34,2018/11/1 11:34,,2018/11/1 11:22,0:08:37,0:08:37,,00,04,,,2018/11/1 11:22,2018/11/1 11:35,43405.473611111143405.4826388889,#N/A,,
-,-,11,2018/11/1 11:26,8116,まちかど端末（店舗から）,0,814,6,3,,2018/11/1 11:33,2018/11/1 11:36,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/1 11:29,2018/11/1 11:29,2018/11/1 11:39,2018/11/1 11:39,,2018/11/1 11:26,0:03:10,0:09:30,,04,07,,,2018/11/1 11:26,2018/11/1 11:36,43405.476388888943405.4833333333,#N/A,,
-,-,11,2018/11/1 11:29,8117,まちかど端末（乗降ポイントから）,0,261,7,1,,2018/11/1 11:36,2018/11/1 11:46,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 11:37,2018/11/1 11:37,2018/11/1 11:46,2018/11/1 11:46,,2018/11/1 11:29,0:10:04,0:10:04,,00,07,,,2018/11/1 11:29,2018/11/1 11:46,43405.478472222243405.4902777778,#N/A,,
-,-,11,2018/11/1 11:31,8119,まちかど端末（乗降ポイントから）,0,28,4,1,,2018/11/1 11:38,2018/11/1 11:54,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/1 11:39,2018/11/1 11:39,2018/11/1 11:51,2018/11/1 12:01,,2018/11/1 11:31,0:16:50,0:16:50,,00,06,,,2018/11/1 11:31,2018/11/1 11:54,43405.479861111143405.4958333333,#N/A,,
-,-,11,2018/11/1 11:31,8120,まちかど端末（乗降ポイントから）,0,755,9,2,,2018/11/1 11:35,2018/11/1 11:44,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/1 11:38,2018/11/1 11:38,2018/11/1 11:51,2018/11/1 11:51,,2018/11/1 11:31,0:09:06,0:18:12,,00,03,,,2018/11/1 11:31,2018/11/1 11:44,43405.479861111143405.4888888889,#N/A,,
-,-,11,2018/11/1 11:34,8121,乗客アプリ（目的地から）,4032,721,10,2,,2018/11/1 11:39,2018/11/1 11:54,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/11/1 11:36,2018/11/1 11:36,2018/11/1 11:51,2018/11/1 12:01,,2018/11/1 11:34,0:14:17,0:28:34,,03,05,,,2018/11/1 11:34,2018/11/1 11:54,43405.481944444443405.4958333333,#N/A,,
-,-,11,2018/11/1 11:37,8122,乗客アプリ（目的地から）,4435,586,4,1,,2018/11/1 11:42,2018/11/1 11:50,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 11:45,2018/11/1 11:45,2018/11/1 11:53,2018/11/1 11:53,,2018/11/1 11:37,0:07:48,0:07:48,,00,05,,,2018/11/1 11:37,2018/11/1 11:50,43405.484027777843405.4930555556,肯定的,,
-,-,11,2018/11/1 11:39,8123,乗客アプリ（目的地から）,3668,95,8,2,,2018/11/1 11:45,2018/11/1 11:56,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/1 11:49,2018/11/1 11:49,2018/11/1 12:04,2018/11/1 12:04,,2018/11/1 11:39,0:10:18,0:20:36,,00,06,,,2018/11/1 11:39,2018/11/1 11:56,43405.485416666743405.4972222222,#N/A,,
-,-,11,2018/11/1 11:39,8124,乗客アプリ（目的地から）,4363,827,10,1,,2018/11/1 11:42,2018/11/1 11:50,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 11:41,2018/11/1 11:41,2018/11/1 11:55,2018/11/1 11:55,,2018/11/1 11:39,0:08:10,0:08:10,,00,03,,,2018/11/1 11:39,2018/11/1 11:50,43405.485416666743405.4930555556,#N/A,,
