,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,
-,-,10,2018/11/7 10:49,167-384-CAKE,10607,乗客アプリWeb（目的地から）,5399,436,3,1,,2018/11/7 10:56,2018/11/7 11:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:53,2018/11/7 10:56,2018/11/7 11:02,2018/11/7 11:13,,2018/11/7 10:49,0:10:36,0:10:36,,02,06,,,2018/11/7 10:49,2018/11/7 11:06,43411.450694444443411.4625,肯定的,,,
-,-,10,2018/11/7 10:51,023-684-GREEN,10609,まちかど端末（店舗から）,0,490,6,1,,2018/11/7 10:55,2018/11/7 11:02,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 10:55,2018/11/7 10:55,2018/11/7 11:04,2018/11/7 11:04,,2018/11/7 10:51,0:06:36,0:06:36,,00,04,,,2018/11/7 10:51,2018/11/7 11:02,43411.452083333343411.4597222222,#N/A,,,
-,-,10,2018/11/7 10:55,019-846-RED,10610,乗客アプリ（地図から）,3394,665,9,1,,2018/11/7 10:59,2018/11/7 11:09,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/11/7 10:57,2018/11/7 10:57,2018/11/7 11:09,2018/11/7 11:09,,2018/11/7 10:55,0:10:24,0:10:24,,01,04,,,2018/11/7 10:55,2018/11/7 11:09,43411.454861111143411.4645833333,#N/A,,,
-,-,10,2018/11/7 10:58,111-590-SUN,10611,乗客アプリ（地図から）,5369,398,1,1,,2018/11/7 11:01,2018/11/7 11:26,35.443659 139.650847,横浜マリンタワー,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/7 10:59,2018/11/7 10:59,2018/11/7 11:14,2018/11/7 11:14,,2018/11/7 10:58,0:24:56,0:24:56,,02,03,,,2018/11/7 10:58,2018/11/7 11:26,43411.456944444443411.4763888889,#N/A,,,
-,-,10,2018/11/7 10:58,110-809-SUN 110-802-SUN 110-803-SUN,10612,乗客アプリ（目的地から）,3668,792,4,3,,2018/11/7 11:00,2018/11/7 11:03,35.445783 139.642958,横浜情報文化センター,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/7 11:00,2018/11/7 11:00,2018/11/7 11:06,2018/11/7 11:06,,2018/11/7 10:58,0:03:40,0:11:00,,00,01,,,2018/11/7 10:58,2018/11/7 11:03,43411.456944444443411.4604166667,#N/A,,,
-,☆,10,2018/11/7 10:13,166-667-agekke,10585,まちかど端末（店舗から）,0,121,2,1,2018/11/7 10:13,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/7 10:17,,2018/11/7 10:27,,,2018/11/7 10:13,0:00:00,0:00:00,,00,04,,,2018/11/7 10:13,1900/1/0 0:00,43411.42569444440,#N/A,,,
-,☆,10,2018/11/7 10:16,111-590-SUN,10587,乗客アプリ（地図から）,5369,245,6,1,2018/11/7 10:17,,,35.443659 139.650847,横浜マリンタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:20,,2018/11/7 10:32,,,2018/11/7 10:16,0:00:00,0:00:00,,00,03,,,2018/11/7 10:16,1900/1/0 0:00,43411.42777777780,#N/A,,,
-,☆,10,2018/11/7 10:59,111-230-SUN,10613,乗客アプリ（地図から）,5348,708,7,1,2018/11/7 11:01,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 11:04,,2018/11/7 11:15,,,2018/11/7 10:59,0:00:00,0:00:00,,00,05,,,2018/11/7 10:59,1900/1/0 0:00,43411.45763888890,#N/A,,,
★,-,11,2018/11/7 10:08,030-433-YELLOW,10583,乗客アプリ（地図から）,4559,830,5,1,,2018/11/7 11:05,2018/11/7 11:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/7 11:08,2018/11/7 11:08,2018/11/7 11:19,2018/11/7 11:19,2018/11/7 11:08,2018/11/7 11:08,0:08:56,0:08:56,237,00,00,02,02,2018/11/7 10:08,2018/11/7 11:14,43411.422222222243411.4680555556,#N/A,,,
★,-,11,2018/11/7 10:48,064-530-BANANA 061-631-BANANA,10605,まちかど端末（乗降ポイントから）,0,108,7,2,,2018/11/7 11:43,2018/11/7 11:48,35.450681 139.632446,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/7 11:47,2018/11/7 11:47,2018/11/7 11:56,2018/11/7 11:56,2018/11/7 11:47,2018/11/7 11:47,0:04:26,0:08:52,,00,00,,,2018/11/7 10:48,2018/11/7 11:48,43411.4543411.4916666667,#N/A,,,
★,-,11,2018/11/7 10:51,167-383-CAKE,10608,乗客アプリWeb（目的地から）,5398,624,3,1,,2018/11/7 10:58,2018/11/7 11:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/7 11:01,2018/11/7 11:01,2018/11/7 11:08,2018/11/7 11:08,2018/11/7 11:01,2018/11/7 11:01,0:05:42,0:05:42,,00,00,,,2018/11/7 10:51,2018/11/7 11:03,43411.452083333343411.4604166667,#N/A,,,
-,-,11,2018/11/7 11:01,111-230-SUN,10614,乗客アプリ（地図から）,5348,179,7,1,,2018/11/7 11:04,2018/11/7 11:11,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 11:07,2018/11/7 11:07,2018/11/7 11:17,2018/11/7 11:17,,2018/11/7 11:01,0:06:19,0:06:19,,00,03,,,2018/11/7 11:01,2018/11/7 11:11,43411.459027777843411.4659722222,#N/A,,,
★,-,11,2018/11/7 11:02,017-667-RED 017-715-RED,10615,乗客アプリ（簡単予約）,3620,52,1,2,,2018/11/7 11:10,2018/11/7 11:29,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/7 11:12,2018/11/7 11:12,2018/11/7 11:28,2018/11/7 11:28,2018/11/7 11:12,2018/11/7 11:12,0:19:26,0:38:52,,00,00,,,2018/11/7 11:02,2018/11/7 11:29,43411.459722222243411.4784722222,#N/A,,,
-,-,11,2018/11/7 11:02,166-658-agekke,10616,乗客アプリ（地図から）,1751,904,6,1,,2018/11/7 11:05,2018/11/7 11:10,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/11/7 11:07,2018/11/7 11:07,2018/11/7 11:12,2018/11/7 11:12,,2018/11/7 11:02,0:04:35,0:04:35,,00,02,,,2018/11/7 11:02,2018/11/7 11:10,43411.459722222243411.4652777778,肯定的,,,
-,-,11,2018/11/7 11:04,105-295-SNOW 105-294-SNOW 105-293-SNOW 105-292-SNOW,10617,乗客アプリ（地図から）,5401,896,8,4,,2018/11/7 11:12,2018/11/7 11:18,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/7 11:09,2018/11/7 11:09,2018/11/7 11:20,2018/11/7 11:20,,2018/11/7 11:04,0:06:00,0:24:00,,02,08,,,2018/11/7 11:04,2018/11/7 11:18,43411.461111111143411.4708333333,#N/A,,,
-,-,11,2018/11/7 11:09,023-319-GREEN,10618,乗客アプリ（地図から）,4092,415,4,1,,2018/11/7 11:11,2018/11/7 11:18,35.448801 139.636702,ホテルルートイン横浜馬車道,35.456605 139.635327,横浜ベイホテル東急,2018/11/7 11:10,2018/11/7 11:10,2018/11/7 11:21,2018/11/7 11:21,,2018/11/7 11:09,0:06:43,0:06:43,,00,02,,,2018/11/7 11:09,2018/11/7 11:18,43411.464583333343411.4708333333,#N/A,,,
-,-,11,2018/11/7 11:14,112-079-SUN,10619,乗客アプリ（地図から）,3698,325,6,1,,2018/11/7 11:18,2018/11/7 11:26,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443908 139.635249,イセザキ・モール,2018/11/7 11:18,2018/11/7 11:19,2018/11/7 11:27,2018/11/7 11:30,,2018/11/7 11:14,0:08:31,0:08:31,,00,03,,,2018/11/7 11:14,2018/11/7 11:26,43411.468055555643411.4763888889,#N/A,,,
-,-,11,2018/11/7 11:16,114-011-SUN,10620,乗客アプリ（地図から）,5152,699,3,1,,2018/11/7 11:17,2018/11/7 11:27,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/7 11:18,2018/11/7 11:18,2018/11/7 11:28,2018/11/7 11:28,,2018/11/7 11:16,0:09:40,0:09:40,,00,01,,,2018/11/7 11:16,2018/11/7 11:27,43411.469444444443411.4770833333,#N/A,,,
