,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
★,-,11,2018/11/5 10:08,064-225-BANANA,9895,まちかど端末（店舗から）,0,861,8,1,,2018/11/5 10:59,2018/11/5 11:09,35.448801 139.636702,ホテルルートイン横浜馬車道,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 11:07,2018/11/5 11:07,2018/11/5 11:14,2018/11/5 11:14,2018/11/5 11:07,2018/11/5 11:07,0:09:52,0:09:52,287,00,00,03,03,2018/11/5 10:08,2018/11/5 11:09,43409.422222222243409.4645833333,#N/A,,,,
★,-,11,2018/11/5 10:55,167-317-CAKE,9912,乗客アプリWeb（目的地から）,5114,517,1,2,,2018/11/5 11:00,2018/11/5 11:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 11:05,2018/11/5 11:05,2018/11/5 11:16,2018/11/5 11:16,2018/11/5 11:05,2018/11/5 11:05,0:06:24,0:12:48,,00,00,,,2018/11/5 10:55,2018/11/5 11:06,43409.454861111143409.4625,#N/A,,,,
★,-,11,2018/11/5 10:57,065-269-BANANA,9913,乗客アプリ（地図から）,2867,547,6,1,,2018/11/5 11:57,2018/11/5 12:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 11:57,2018/11/5 11:57,2018/11/5 12:06,2018/11/5 12:06,2018/11/5 11:57,2018/11/5 11:57,0:05:57,0:05:57,,00,00,,,2018/11/5 10:57,2018/11/5 12:03,43409.4562543409.5020833333,#N/A,,,,
-,-,11,2018/11/5 11:01,167-316-CAKE,9915,乗客アプリWeb（地図から）,5113,766,4,1,,2018/11/5 11:05,2018/11/5 11:14,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 11:05,2018/11/5 11:05,2018/11/5 11:15,2018/11/5 11:15,,2018/11/5 11:01,0:08:44,0:08:44,,00,04,,,2018/11/5 11:01,2018/11/5 11:14,43409.459027777843409.4680555556,肯定的,,,,
-,-,11,2018/11/5 11:01,110-342-SUN,9917,乗客アプリ（目的地から）,4256,841,2,1,,2018/11/5 11:05,2018/11/5 11:19,35.441002 139.650809,横浜元町ショッピングストリート,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 11:05,2018/11/5 11:05,2018/11/5 11:23,2018/11/5 11:23,,2018/11/5 11:01,0:13:59,0:13:59,,00,03,,,2018/11/5 11:01,2018/11/5 11:19,43409.459027777843409.4715277778,肯定的,,,,
-,-,11,2018/11/5 11:02,026-867-GREEN 026-868-GREEN,9918,まちかど端末（乗降ポイントから）,0,112,10,2,,2018/11/5 11:06,2018/11/5 11:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 11:06,2018/11/5 11:06,2018/11/5 11:22,2018/11/5 11:22,,2018/11/5 11:02,0:24:07,0:48:14,,00,04,,,2018/11/5 11:02,2018/11/5 11:30,43409.459722222243409.4791666667,#N/A,,,,
-,-,11,2018/11/5 11:03,020-397-GREEN,9919,まちかど端末（店舗から）,0,891,7,1,,2018/11/5 11:09,2018/11/5 11:17,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/5 11:13,2018/11/5 11:13,2018/11/5 11:26,2018/11/5 11:26,,2018/11/5 11:03,0:08:16,0:08:16,,00,05,,,2018/11/5 11:03,2018/11/5 11:17,43409.460416666743409.4701388889,#N/A,,,,
-,-,11,2018/11/5 11:04,109-409-SNOW,9921,乗客アプリ（地図から）,4073,494,3,1,,2018/11/5 11:13,2018/11/5 11:20,35.450681 139.632446,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/5 11:07,2018/11/5 11:07,2018/11/5 11:14,2018/11/5 11:14,,2018/11/5 11:04,0:06:23,0:06:23,,06,09,,,2018/11/5 11:04,2018/11/5 11:20,43409.461111111143409.4722222222,#N/A,,,,
-,-,11,2018/11/5 11:07,166-786-agekke,9922,乗客アプリ（地図から）,2051,195,1,1,,2018/11/5 11:14,2018/11/5 11:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 11:13,2018/11/5 11:13,2018/11/5 11:19,2018/11/5 11:19,,2018/11/5 11:07,0:05:07,0:05:07,,00,07,,,2018/11/5 11:07,2018/11/5 11:19,43409.463194444443409.4715277778,肯定的,,,,
-,-,11,2018/11/5 11:07,166-778-agekke,9923,乗客アプリ（目的地から）,2314,733,9,1,,2018/11/5 11:11,2018/11/5 11:19,35.448676 139.635696,横浜平和プラザホテル,35.447541 139.644914,シルク博物館,2018/11/5 11:10,2018/11/5 11:10,2018/11/5 11:16,2018/11/5 11:16,,2018/11/5 11:07,0:07:04,0:07:04,,01,04,,,2018/11/5 11:07,2018/11/5 11:19,43409.463194444443409.4715277778,時刻かぶり,,,,
★,-,11,2018/11/5 11:08,167-319-CAKE,9924,乗客アプリWeb（目的地から）,5116,958,10,2,,2018/11/5 11:13,2018/11/5 11:27,35.450681 139.632446,横浜桜木町ワシントンホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 11:18,2018/11/5 11:18,2018/11/5 11:29,2018/11/5 11:29,2018/11/5 11:18,2018/11/5 11:18,0:13:30,0:27:00,,00,00,,,2018/11/5 11:08,2018/11/5 11:27,43409.463888888943409.4770833333,#N/A,,,,
-,-,11,2018/11/5 11:10,166-782-agekke,9925,乗客アプリ（地図から）,1751,454,5,1,,2018/11/5 11:22,2018/11/5 11:31,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 11:22,2018/11/5 11:22,2018/11/5 11:37,2018/11/5 11:37,,2018/11/5 11:10,0:08:32,0:08:32,,00,12,,,2018/11/5 11:10,2018/11/5 11:31,43409.465277777843409.4798611111,肯定的,,,,
-,-,11,2018/11/5 11:13,021-272-GREEN 021-271-GREEN,9926,まちかど端末（店舗から）,0,917,4,2,,2018/11/5 11:20,2018/11/5 11:25,35.453715 139.638133,横浜ワールドポーターズ,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 11:20,2018/11/5 11:20,2018/11/5 11:29,2018/11/5 11:29,,2018/11/5 11:13,0:04:42,0:09:24,,00,07,,,2018/11/5 11:13,2018/11/5 11:25,43409.467361111143409.4756944444,#N/A,,,,
★,-,11,2018/11/5 11:14,020-893-GREEN 020-892-GREEN,9927,乗客アプリ（目的地から）,5117,295,2,2,,2018/11/5 11:20,2018/11/5 11:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/5 11:24,2018/11/5 11:24,2018/11/5 11:38,2018/11/5 11:38,2018/11/5 11:24,2018/11/5 11:24,0:11:00,0:22:00,,00,00,,,2018/11/5 11:14,2018/11/5 11:31,43409.468055555643409.4798611111,#N/A,,,,
★,-,11,2018/11/5 11:17,071-781-ORANGE 073-156-ORANGE,9928,まちかど端末（店舗から）,0,93,10,2,,2018/11/5 11:20,2018/11/5 11:30,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 11:26,2018/11/5 11:26,2018/11/5 11:37,2018/11/5 11:37,2018/11/5 11:26,2018/11/5 11:26,0:10:29,0:20:58,,00,00,,,2018/11/5 11:17,2018/11/5 11:30,43409.470138888943409.4791666667,#N/A,,,,
-,-,11,2018/11/5 11:27,074-485-ORANGE,9932,乗客アプリ（地図から）,5046,992,9,1,,2018/11/5 11:29,2018/11/5 11:36,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 11:28,2018/11/5 11:28,2018/11/5 11:39,2018/11/5 11:39,,2018/11/5 11:27,0:07:18,0:07:18,,01,02,,,2018/11/5 11:27,2018/11/5 11:36,43409.477083333343409.4833333333,#N/A,,,,
-,-,11,2018/11/5 11:30,070-782-ORANGE,9933,まちかど端末（乗降ポイントから）,0,305,8,1,,2018/11/5 11:35,2018/11/5 11:47,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 11:36,2018/11/5 11:36,2018/11/5 11:50,2018/11/5 11:50,,2018/11/5 11:30,0:11:14,0:11:14,,00,05,,,2018/11/5 11:30,2018/11/5 11:47,43409.479166666743409.4909722222,#N/A,,,,
-,-,11,2018/11/5 11:42,166-778-agekke,9934,乗客アプリ（目的地から）,2314,14,3,1,,2018/11/5 11:43,2018/11/5 11:48,35.445857 139.647636,ホテルモントレ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/5 11:43,2018/11/5 11:43,2018/11/5 11:47,2018/11/5 11:47,,2018/11/5 11:42,0:04:31,0:04:31,,00,01,,,2018/11/5 11:42,2018/11/5 11:48,43409.487543409.4916666667,#N/A,,,,
★,-,11,2018/11/5 11:42,020-193-GREEN 023-780-GREEN,9935,乗客アプリ（目的地から）,5045,705,5,2,,2018/11/5 11:51,2018/11/5 11:56,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 11:52,2018/11/5 11:52,2018/11/5 11:59,2018/11/5 11:59,2018/11/5 11:52,2018/11/5 11:52,0:05:07,0:10:14,,00,00,,,2018/11/5 11:42,2018/11/5 11:56,43409.487543409.4972222222,#N/A,,,,
-,-,11,2018/11/5 11:53,020-397-GREEN,9936,乗客アプリ（目的地から）,4781,829,8,1,,2018/11/5 11:57,2018/11/5 12:05,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 11:57,2018/11/5 11:57,2018/11/5 12:04,2018/11/5 12:04,,2018/11/5 11:53,0:08:10,0:08:10,,00,04,,,2018/11/5 11:53,2018/11/5 12:05,43409.495138888943409.5034722222,#N/A,,,,
-,-,11,2018/11/5 11:55,074-485-ORANGE,9937,乗客アプリ（目的地から）,5046,852,4,1,,2018/11/5 12:00,2018/11/5 12:12,35.441441 139.648505,横浜中華街朱雀門,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 12:00,2018/11/5 12:00,2018/11/5 12:14,2018/11/5 12:14,,2018/11/5 11:55,0:11:28,0:11:28,,00,05,,,2018/11/5 11:55,2018/11/5 12:12,43409.496527777843409.5083333333,#N/A,,,,
