,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,
-,☆,11,2018/10/30 11:04,7452,まちかど設置端末（店舗から）,0,1177,2,1,2018/10/30 11:12,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.441441 139.648505,横浜中華街朱雀門,2018/10/30 11:06,,2018/10/30 11:11,,,2018/10/30 11:04,0:00:00,0:00:00,,00,07,,,2018/10/30 11:04,1900/1/0 0:00,43403.46111111110,#N/A,,,
-,☆,11,2018/10/30 10:23,7442,乗客アプリ（地図から）,985,490,3,1,2018/10/30 10:24,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443659 139.650847,横浜マリンタワー,2018/10/30 10:32,,2018/10/30 10:37,,,2018/10/30 10:23,0:00:00,0:00:00,,00,08,,,2018/10/30 10:23,1900/1/0 0:00,43403.43263888890,#N/A,,,
-,☆,11,2018/10/30 11:10,7455,乗客アプリ（地図から）,1591,551,8,1,2018/10/30 11:12,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/30 11:12,,2018/10/30 11:28,,,2018/10/30 11:10,0:00:00,0:00:00,,00,01,,,2018/10/30 11:10,1900/1/0 0:00,43403.46527777780,#N/A,,,
-,☆,11,2018/10/30 11:24,7462,まちかど設置端末（地図から）,0,676,10,1,2018/10/30 11:25,,,35.443073 139.651914,横浜人形の家,35.447541 139.644914,シルク博物館,2018/10/30 11:33,,2018/10/30 11:39,,,2018/10/30 11:24,0:00:00,0:00:00,,00,09,,,2018/10/30 11:24,1900/1/0 0:00,43403.4750,#N/A,,,
-,☆,11,2018/10/30 11:24,7463,まちかど設置端末（店舗から）,0,623,2,1,2018/10/30 11:34,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/30 11:26,,2018/10/30 11:33,,,2018/10/30 11:24,0:00:00,0:00:00,,00,09,,,2018/10/30 11:24,1900/1/0 0:00,43403.4750,#N/A,,,
-,☆,11,2018/10/30 11:31,7465,まちかど設置端末（店舗から）,0,527,7,2,2018/10/30 11:41,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/30 11:38,,2018/10/30 11:49,,,2018/10/30 11:31,0:00:00,0:00:00,,00,09,,,2018/10/30 11:31,1900/1/0 0:00,43403.47986111110,#N/A,,,
-,☆,11,2018/10/30 11:32,7466,まちかど設置端末（店舗から）,0,1076,7,1,2018/10/30 11:41,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/30 11:36,,2018/10/30 11:50,,,2018/10/30 11:32,0:00:00,0:00:00,,00,08,,,2018/10/30 11:32,1900/1/0 0:00,43403.48055555560,#N/A,,,
-,☆,11,2018/10/30 11:55,7473,まちかど設置端末（店舗から）,0,831,6,1,2018/10/30 11:58,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/30 12:05,,2018/10/30 12:17,,,2018/10/30 11:55,0:00:00,0:00:00,,00,10,,,2018/10/30 11:55,1900/1/0 0:00,43403.49652777780,#N/A,,,
-,-,12,2018/10/30 12:05,7475,まちかど設置端末（地図から）,0,1098,9,1,,2018/10/30 12:18,2018/10/30 12:54,35.445783 139.642958,横浜情報文化センター,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/30 12:12,2018/10/30 12:12,2018/10/30 12:35,2018/10/30 12:45,,2018/10/30 12:05,0:36:42,0:36:42,315,05,12,05,05,2018/10/30 12:05,2018/10/30 12:54,43403.503472222243403.5375,#N/A,,,
-,-,12,2018/10/30 12:05,7476,乗客アプリ（目的地から）,2801,355,1,2,,2018/10/30 12:13,2018/10/30 12:25,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/30 12:13,2018/10/30 12:13,2018/10/30 12:28,2018/10/30 12:28,,2018/10/30 12:05,0:11:32,0:23:04,,00,07,,,2018/10/30 12:05,2018/10/30 12:25,43403.503472222243403.5173611111,#N/A,,,
