,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,
-,☆,10,2018/11/12 10:58,105-665-SNOW,12940,乗客アプリ（地図から）,2535,923,4,1,2018/11/12 10:58,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/12 11:01,,2018/11/12 11:06,,,2018/11/12 10:58,0:00:00,0:00:00,,00,03,,,2018/11/12 10:58,1900/1/0 0:00,43416.45694444440,#N/A,,
★,-,11,2018/11/12 10:24,019-740-RED,12924,乗客アプリ（目的地から）,3203,328,8,1,,2018/11/12 11:25,2018/11/12 11:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/12 11:24,2018/11/12 11:24,2018/11/12 11:29,2018/11/12 11:29,2018/11/12 11:24,2018/11/12 11:24,0:05:08,0:05:08,405,00,00,05,05,2018/11/12 10:24,2018/11/12 11:30,43416.433333333343416.4791666667,#N/A,,
-,-,11,2018/11/12 11:01,166-818-agekke,12941,乗客アプリ（目的地から）,2314,675,4,1,,2018/11/12 11:08,2018/11/12 11:14,35.448676 139.635696,横浜平和プラザホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/12 11:07,2018/11/12 11:07,2018/11/12 11:12,2018/11/12 11:12,,2018/11/12 11:01,0:06:24,0:06:24,,00,06,,,2018/11/12 11:01,2018/11/12 11:14,43416.459027777843416.4680555556,#N/A,,
-,-,11,2018/11/12 11:03,062-714-BANANA 050-934-STRAWBERRY,12942,まちかど端末（乗降ポイントから）,0,137,10,2,,2018/11/12 11:07,2018/11/12 11:24,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/12 11:06,2018/11/12 11:07,2018/11/12 11:17,2018/11/12 11:31,,2018/11/12 11:03,0:17:08,0:34:16,,01,04,,,2018/11/12 11:03,2018/11/12 11:24,43416.460416666743416.475,#N/A,,
-,-,11,2018/11/12 11:04,018-248-RED 066-924-BANANA,12943,乗客アプリ（地図から）,4377,395,13,2,,2018/11/12 11:10,2018/11/12 11:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 11:09,2018/11/12 11:09,2018/11/12 11:18,2018/11/12 11:18,,2018/11/12 11:04,0:05:43,0:11:26,,01,06,,,2018/11/12 11:04,2018/11/12 11:16,43416.461111111143416.4694444444,#N/A,,
★,-,11,2018/11/12 11:06,068-371-BANANA,12944,まちかど端末（店舗から）,0,647,10,1,,2018/11/12 11:12,2018/11/12 11:22,35.443704 139.651332,ホテルメルパルク横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 11:16,2018/11/12 11:16,2018/11/12 11:27,2018/11/12 11:27,2018/11/12 11:16,2018/11/12 11:16,0:09:45,0:09:45,,00,00,,,2018/11/12 11:06,2018/11/12 11:22,43416.462543416.4736111111,#N/A,,
★,-,11,2018/11/12 11:11,167-522-CAKE,12946,乗客アプリWeb（地図から）,5877,730,11,1,,2018/11/12 11:19,2018/11/12 11:29,35.443073 139.651914,横浜人形の家,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/12 11:20,2018/11/12 11:20,2018/11/12 11:29,2018/11/12 11:29,2018/11/12 11:20,2018/11/12 11:20,0:09:33,0:09:33,,00,00,,,2018/11/12 11:11,2018/11/12 11:29,43416.465972222243416.4784722222,#N/A,,
-,-,11,2018/11/12 11:18,062-867-BANANA 062-868-BANANA,12950,乗客アプリ（地図から）,3338,758,9,2,,2018/11/12 11:22,2018/11/12 11:36,35.443659 139.650847,横浜マリンタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/12 11:21,2018/11/12 11:21,2018/11/12 11:39,2018/11/12 11:39,,2018/11/12 11:18,0:13:21,0:26:42,,01,04,,,2018/11/12 11:18,2018/11/12 11:36,43416.470833333343416.4833333333,肯定的,,
-,-,11,2018/11/12 11:21,062-805-BANANA 062-806-BANANA,12951,まちかど端末（店舗から）,0,734,13,2,,2018/11/12 11:25,2018/11/12 11:32,35.456605 139.635327,横浜ベイホテル東急,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 11:25,2018/11/12 11:25,2018/11/12 11:37,2018/11/12 11:37,,2018/11/12 11:21,0:07:21,0:14:42,,00,04,,,2018/11/12 11:21,2018/11/12 11:32,43416.472916666743416.4805555556,#N/A,,
-,-,11,2018/11/12 11:21,167-561-CAKE,12952,乗客アプリ（目的地から）,2669,914,5,2,,2018/11/12 11:30,2018/11/12 11:44,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/12 11:29,2018/11/12 11:29,2018/11/12 11:42,2018/11/12 11:44,,2018/11/12 11:21,0:13:16,0:26:32,,00,09,,,2018/11/12 11:21,2018/11/12 11:44,43416.472916666743416.4888888889,#N/A,,
