,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
★,☆,10,2018/11/29 10:07,070-734-ORANGE 069-595-BANANA 070-735-ORANGE,21530,乗客アプリ（地図から）,7681,264,4,3,2018/11/29 10:07,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443659 139.650847,横浜マリンタワー,2018/11/29 10:17,,2018/11/29 10:32,,2018/11/29 10:17,2018/11/29 10:17,0:00:00,0:00:00,,00,00,,,,,
★,☆,10,2018/11/29 10:30,073-184-ORANGE 073-185-ORANGE 062-557-BANANA,21548,まちかど端末（店舗から）,0,119,15,3,2018/11/29 10:43,,,35.445857 139.647636,ホテルモントレ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 10:39,,2018/11/29 10:46,,2018/11/29 10:39,2018/11/29 10:39,0:00:00,0:00:00,,00,03,,,,,
-,☆,10,2018/11/29 10:34,118-835-SUN,21550,乗客アプリ（目的地から）,7705,706,13,1,2018/11/29 10:35,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 10:39,,2018/11/29 10:44,,,2018/11/29 10:34,0:00:00,0:00:00,,00,04,,,,,※40行と同一人物と思われるため一番短い待ち時間を採用
-,☆,10,2018/11/29 10:35,118-659-SUN,21551,乗客アプリ（目的地から）,7706,143,1,1,2018/11/29 10:35,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 10:40,,2018/11/29 10:45,,,2018/11/29 10:35,0:00:00,0:00:00,,00,,,,,,※39行と同一人物と思われるため一番短い待ち時間を採用
★,-,11,2018/11/29 10:22,033-328-YELLOW 033-912-YELLOW 033-327-YELLOW 033-326-YELLOW 033-329-YELLOW,21542,まちかど端末（乗降ポイントから）,0,227,6,5,,2018/11/29 11:19,2018/11/29 11:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 11:22,2018/11/29 11:22,2018/11/29 11:33,2018/11/29 11:33,2018/11/29 11:22,2018/11/29 11:22,0:05:09,0:25:45,619,00,00,05,03,,,
-,-,11,2018/11/29 11:01,075-863-ORANGE 075-831-ORANGE,21564,乗客アプリ（目的地から）,7587,987,4,2,,2018/11/29 11:07,2018/11/29 11:10,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 11:07,2018/11/29 11:07,2018/11/29 11:14,2018/11/29 11:14,,2018/11/29 11:01,0:03:19,0:06:38,,00,05,,,,,
-,-,11,2018/11/29 11:03,076-049-ORANGE 065-485-BANANA,21565,まちかど端末（店舗から）,0,421,2,2,,2018/11/29 11:06,2018/11/29 11:14,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/11/29 11:05,2018/11/29 11:05,2018/11/29 11:20,2018/11/29 11:20,,2018/11/29 11:03,0:07:46,0:15:32,,00,03,,,,,
★,-,11,2018/11/29 11:04,075-825-ORANGE 075-826-ORANGE,21566,乗客アプリ（目的地から）,5476,245,13,2,,2018/11/29 11:12,2018/11/29 11:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/29 11:14,2018/11/29 11:14,2018/11/29 11:25,2018/11/29 11:25,2018/11/29 11:14,2018/11/29 11:14,0:07:13,0:14:26,,00,00,,,,,
-,-,11,2018/11/29 11:04,034-741-YELLOW 034-740-YELLOW,21567,まちかど端末（乗降ポイントから）,0,307,3,2,,2018/11/29 11:06,2018/11/29 11:16,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 11:06,2018/11/29 11:06,2018/11/29 11:15,2018/11/29 11:15,,2018/11/29 11:04,0:09:29,0:18:58,,00,02,,,,,
★,-,11,2018/11/29 11:10,034-743-YELLOW 034-742-YELLOW,21568,まちかど端末（店舗から）,0,696,4,2,,2018/11/29 11:11,2018/11/29 11:18,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 11:19,2018/11/29 11:19,2018/11/29 11:28,2018/11/29 11:28,2018/11/29 11:19,2018/11/29 11:19,0:06:14,0:12:28,,00,00,,,,,
★,-,11,2018/11/29 11:11,024-850-GREEN,21569,乗客アプリ（地図から）,3203,972,5,1,,2018/11/29 11:22,2018/11/29 11:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/29 11:21,2018/11/29 11:22,2018/11/29 11:25,2018/11/29 11:30,2018/11/29 11:21,2018/11/29 11:21,0:04:26,0:04:26,,01,01,,,,,
★,-,11,2018/11/29 11:14,020-254-GREEN 020-256-GREEN 020-255-GREEN,21570,乗客アプリ（Myルートから）,4719,739,5,3,,2018/11/29 11:25,2018/11/29 11:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 11:24,2018/11/29 11:24,2018/11/29 11:44,2018/11/29 11:44,2018/11/29 11:24,2018/11/29 11:24,0:11:00,0:33:00,,01,01,,,,,
★,-,11,2018/11/29 11:14,113-141-SUN,21571,乗客アプリ（地図から）,6022,733,10,1,,2018/11/29 11:20,2018/11/29 11:25,35.456605 139.635327,横浜ベイホテル東急,35.445783 139.642958,横浜情報文化センター,2018/11/29 11:24,2018/11/29 11:24,2018/11/29 11:34,2018/11/29 11:34,2018/11/29 11:24,2018/11/29 11:24,0:05:33,0:05:33,,00,00,,,,,
-,-,11,2018/11/29 11:15,167-985-CAKE,21572,乗客アプリWeb（目的地から）,6864,957,15,1,,2018/11/29 11:20,2018/11/29 11:28,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/29 11:20,2018/11/29 11:20,2018/11/29 11:31,2018/11/29 11:31,,2018/11/29 11:15,0:07:47,0:07:47,,00,05,,,,,
-,-,11,2018/11/29 11:15,073-718-ORANGE,21573,乗客アプリ（Myルートから）,3462,580,3,1,,2018/11/29 11:19,2018/11/29 11:33,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 11:21,2018/11/29 11:21,2018/11/29 11:35,2018/11/29 11:35,,2018/11/29 11:15,0:13:57,0:13:57,,00,03,,,,,
-,-,11,2018/11/29 11:16,167-991-CAKE,21574,乗客アプリWeb（地図から）,7714,80,7,1,,2018/11/29 11:25,2018/11/29 11:34,35.443908 139.635249,イセザキ・モール,35.445857 139.647636,ホテルモントレ横浜,2018/11/29 11:25,2018/11/29 11:25,2018/11/29 11:33,2018/11/29 11:33,,2018/11/29 11:16,0:08:58,0:08:58,,00,08,,,,,
