,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
-,-,10,2018/11/22 10:48,113-777-SUN,17594,乗客アプリ（地図から）,5652,246,13,1,,2018/11/22 10:51,2018/11/22 10:54,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.445783 139.642958,横浜情報文化センター,2018/11/22 10:50,2018/11/22 10:50,2018/11/22 10:54,2018/11/22 10:54,,2018/11/22 10:48,0:02:55,0:02:55,,01,03,,,,,,
-,-,10,2018/11/22 10:54,024-802-GREEN,17595,まちかど端末（乗降ポイントから）,0,643,9,1,,2018/11/22 10:58,2018/11/22 11:16,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 10:57,2018/11/22 10:58,2018/11/22 11:12,2018/11/22 11:20,,2018/11/22 10:54,0:18:32,0:18:32,,00,03,,,,,,
-,-,10,2018/11/22 10:55,166-484-agekke,17596,まちかど端末（乗降ポイントから）,0,962,15,1,,2018/11/22 11:00,2018/11/22 11:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 10:59,2018/11/22 10:59,2018/11/22 11:06,2018/11/22 11:06,,2018/11/22 10:55,0:06:08,0:06:08,,00,04,,,,,,
-,☆,10,2018/11/22 9:38,065-611-BANANA 065-609-BANANA 065-610-BANANA,17548,まちかど端末（店舗から）,0,63,8,3,2018/11/22 9:39,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.441441 139.648505,横浜中華街朱雀門,2018/11/22 10:22,,2018/11/22 10:26,,,2018/11/22 9:38,0:00:00,0:00:00,,00,22,,,,2018/11/22 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/22 9:48,002-672-BLUE,17549,乗客アプリWeb（地図から）,5621,285,2,1,2018/11/22 10:04,,,35.454389 139.630904,横浜ランドマークタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/22 10:04,,2018/11/22 10:29,,2018/11/22 9:57,2018/11/22 9:57,0:00:00,0:00:00,,00,04,,,,2018/11/22 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/22 9:48,065-668-BANANA 068-433-BANANA,17550,乗客アプリ（地図から）,3911,801,8,2,2018/11/22 9:48,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 10:23,,2018/11/22 10:38,,2018/11/22 9:58,2018/11/22 9:58,0:00:00,0:00:00,,00,23,,,,2018/11/22 10:00,※10時以前に予約しているため,※42行と同一人物と思われるため一番短い待ち時間を採用
-,☆,10,2018/11/22 9:48,069-684-BANANA 069-736-BANANA,17551,まちかど端末（店舗から）,0,573,2,2,2018/11/22 9:49,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 10:09,,2018/11/22 10:30,,,2018/11/22 9:48,0:00:00,0:00:00,,00,08,,,,2018/11/22 10:00,※10時以前に予約しているため,
-,☆,10,2018/11/22 9:49,065-668-BANANA 068-433-BANANA,17552,乗客アプリ（地図から）,3911,883,8,2,2018/11/22 9:52,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 10:23,,2018/11/22 10:38,,,2018/11/22 9:49,0:00:00,0:00:00,,00,,,,,2018/11/22 10:00,※10時以前に予約しているため,※40行と同一人物と思われるため一番短い待ち時間を採用
-,☆,10,2018/11/22 10:02,065-612-BANANA,17555,まちかど端末（店舗から）,0,486,4,1,2018/11/22 10:03,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 10:07,,2018/11/22 10:17,,,2018/11/22 10:02,0:00:00,0:00:00,,00,04,,,,,,
-,☆,10,2018/11/22 10:14,117-703-SUN,17568,乗客アプリ（地図から）,1705,808,2,1,2018/11/22 10:20,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 10:20,,2018/11/22 10:30,,,2018/11/22 10:14,0:00:00,0:00:00,,00,05,,,,,,
