,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,☆,10,2018/11/25 9:47,053-194-STRAWBERRY 053-193-STRAWBERRY,19681,乗客アプリ（目的地から）,7310,285,13,2,2018/11/25 9:47,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:08,,2018/11/25 10:16,,2018/11/25 9:57,2018/11/25 9:57,0:00:00,0:00:00,,00,08,,,,2018/11/25 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/25 9:51,167-884-CAKE,19683,乗客アプリWeb（目的地から）,7206,442,13,1,2018/11/25 10:02,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:05,,2018/11/25 10:16,,2018/11/25 10:01,2018/11/25 10:01,0:00:00,0:00:00,,00,04,,,,,,
★,☆,10,2018/11/25 9:53,031-777-YELLOW 012-268-RED 057-264-STRAWBERRY,19684,乗客アプリ（目的地から）,2678,935,1,3,2018/11/25 9:53,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:52,,2018/11/25 11:10,,2018/11/25 10:52,2018/11/25 10:52,0:00:00,0:00:00,,00,00,,,,※41行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/25 9:53,031-777-YELLOW 012-268-RED 057-264-STRAWBERRY,19685,乗客アプリ（目的地から）,2678,215,11,3,2018/11/25 9:54,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:13,,2018/11/25 10:30,,,2018/11/25 9:53,0:00:00,0:00:00,,00,,,,,※40行と同一人物と思われるため一番短いものを採用,,
★,☆,10,2018/11/25 10:00,007-290-BLUE,19688,乗客アプリ（Myルートから）,1358,864,2,1,2018/11/25 10:01,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:10,,2018/11/25 10:19,,2018/11/25 10:10,2018/11/25 10:10,0:00:00,0:00:00,,00,00,,,,,,
-,☆,10,2018/11/25 10:03,167-884-CAKE,19693,乗客アプリWeb（地図から）,7206,69,13,1,2018/11/25 10:03,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:04,,2018/11/25 10:14,,,2018/11/25 10:03,0:00:00,0:00:00,,00,01,,,,,,
★,☆,10,2018/11/25 10:14,012-268-RED,19701,乗客アプリ（Myルートから）,2678,600,13,1,2018/11/25 10:14,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:24,,2018/11/25 10:44,,2018/11/25 10:24,2018/11/25 10:24,0:00:00,0:00:00,,00,00,,,,※同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/25 10:20,012-268-RED,19706,乗客アプリ（Myルートから）,2678,464,2,1,2018/11/25 10:20,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:23,,2018/11/25 10:38,,,2018/11/25 10:20,0:00:00,0:00:00,,00,,,,,※同一人物と思われるため一番短いものを採用,,
★,☆,10,2018/11/25 10:20,012-268-RED,19708,乗客アプリ（Myルートから）,2678,897,1,1,2018/11/25 10:21,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:30,,2018/11/25 10:46,,2018/11/25 10:30,2018/11/25 10:30,0:00:00,0:00:00,,00,,,,,※同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/25 10:21,031-777-YELLOW 012-268-RED 057-264-STRAWBERRY,19709,乗客アプリ（Myルートから）,2678,320,2,3,2018/11/25 10:23,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:24,,2018/11/25 10:41,,,2018/11/25 10:21,0:00:00,0:00:00,,00,,,,,※同一人物と思われるため一番短いものを採用,,
