,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,☆,10,2018/11/19 10:35,167-781-CAKE,16228,乗客アプリWeb（地図から）,6687,372,4,2,2018/11/19 10:43,,,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 10:38,,2018/11/19 10:48,,,2018/11/19 10:35,0:00:00,0:00:00,,00,08,,,,,
★,-,11,2018/11/19 10:50,019-302-RED 019-301-RED,16232,乗客アプリ（地図から）,3965,856,10,2,,2018/11/19 11:00,2018/11/19 11:06,35.447546 139.64358,横浜開港資料館,35.443908 139.635249,イセザキ・モール,2018/11/19 11:00,2018/11/19 11:00,2018/11/19 11:07,2018/11/19 11:07,2018/11/19 11:00,2018/11/19 11:00,0:06:15,0:12:30,456,00,00,05,06,,,
★,-,11,2018/11/19 10:53,116-702-SUN,16233,乗客アプリ（簡単予約）,6552,151,5,1,,2018/11/19 11:04,2018/11/19 11:32,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/19 11:03,2018/11/19 11:03,2018/11/19 11:22,2018/11/19 11:22,2018/11/19 11:03,2018/11/19 11:03,0:27:57,0:27:57,,00,00,,,,,
-,-,11,2018/11/19 11:04,066-196-BANANA 066-197-BANANA,16238,乗客アプリ（目的地から）,6683,855,15,2,,2018/11/19 11:09,2018/11/19 11:12,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/19 11:09,2018/11/19 11:09,2018/11/19 11:15,2018/11/19 11:15,,2018/11/19 11:04,0:02:25,0:04:50,,00,05,,,,,
-,-,11,2018/11/19 11:05,031-987-YELLOW,16240,乗客アプリ（地図から）,3388,884,7,1,,2018/11/19 11:08,2018/11/19 11:11,35.452963 139.642093,横浜赤レンガ倉庫,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/19 11:07,2018/11/19 11:07,2018/11/19 11:15,2018/11/19 11:15,,2018/11/19 11:05,0:03:38,0:03:38,,00,02,,,,,
-,-,11,2018/11/19 11:08,031-659-YELLOW,16241,乗客アプリ（目的地から）,3162,180,8,1,,2018/11/19 11:11,2018/11/19 11:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/19 11:10,2018/11/19 11:10,2018/11/19 11:23,2018/11/19 11:23,,2018/11/19 11:08,0:31:33,0:31:33,,00,02,,,,,
★,-,11,2018/11/19 11:08,167-764-CAKE,16242,乗客アプリWeb（地図から）,6638,983,5,2,,2018/11/19 11:17,2018/11/19 11:27,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/19 11:18,2018/11/19 11:18,2018/11/19 11:32,2018/11/19 11:32,2018/11/19 11:18,2018/11/19 11:18,0:09:17,0:18:34,,00,00,,,,,
-,-,11,2018/11/19 11:10,166-731-agekke,16243,乗客アプリ（目的地から）,3744,348,1,1,,2018/11/19 11:15,2018/11/19 11:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/19 11:14,2018/11/19 11:14,2018/11/19 11:29,2018/11/19 11:29,,2018/11/19 11:10,0:12:07,0:12:07,,00,04,,,,,
-,-,11,2018/11/19 11:10,066-203-BANANA 068-504-BANANA,16244,まちかど端末（店舗から）,0,39,13,2,,2018/11/19 11:18,2018/11/19 11:21,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/19 11:14,2018/11/19 11:14,2018/11/19 11:20,2018/11/19 11:20,,2018/11/19 11:10,0:03:06,0:06:12,,04,07,,,,,
-,-,11,2018/11/19 11:12,024-025-GREEN,16245,乗客アプリ（目的地から）,2530,298,2,1,,2018/11/19 11:14,2018/11/19 11:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/19 11:16,2018/11/19 11:16,2018/11/19 11:25,2018/11/19 11:25,,2018/11/19 11:12,0:03:57,0:03:57,,00,02,,,,,
★,-,11,2018/11/19 11:16,166-747-agekke,16246,乗客アプリ（地図から）,2314,354,8,1,,2018/11/19 11:23,2018/11/19 11:39,35.450447 139.635947,馬車道駅（みなとみらい線）,35.447541 139.644914,シルク博物館,2018/11/19 11:26,2018/11/19 11:26,2018/11/19 11:32,2018/11/19 11:40,2018/11/19 11:26,2018/11/19 11:26,0:15:47,0:15:47,,00,00,,,,,
-,-,11,2018/11/19 11:21,031-987-YELLOW,16247,乗客アプリ（目的地から）,3388,59,4,1,,2018/11/19 11:29,2018/11/19 11:35,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/19 11:26,2018/11/19 11:26,2018/11/19 11:36,2018/11/19 11:36,,2018/11/19 11:21,0:06:32,0:06:32,,02,08,,,,,
★,-,11,2018/11/19 11:21,113-804-SUN,16248,乗客アプリ（地図から）,3510,204,8,1,,2018/11/19 11:30,2018/11/19 11:37,35.443908 139.635249,イセザキ・モール,35.445783 139.642958,横浜情報文化センター,2018/11/19 11:31,2018/11/19 11:31,2018/11/19 11:37,2018/11/19 11:37,2018/11/19 11:31,2018/11/19 11:31,0:06:46,0:06:46,,00,00,,,,,
-,-,11,2018/11/19 11:24,167-778-CAKE,16249,乗客アプリWeb（目的地から）,6684,256,6,1,,2018/11/19 11:28,2018/11/19 11:38,35.441441 139.648505,横浜中華街朱雀門,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 11:26,2018/11/19 11:26,2018/11/19 11:38,2018/11/19 11:38,,2018/11/19 11:24,0:10:02,0:10:02,,02,03,,,,,
-,-,11,2018/11/19 11:28,068-306-BANANA,16251,乗客アプリ（地図から）,4719,274,15,1,,2018/11/19 11:29,2018/11/19 11:37,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 11:29,2018/11/19 11:29,2018/11/19 11:43,2018/11/19 11:43,,2018/11/19 11:28,0:08:16,0:08:16,,00,01,,,,,
-,-,11,2018/11/19 11:29,071-151-ORANGE 071-152-ORANGE,16252,乗客アプリ（目的地から）,5476,74,9,2,,2018/11/19 11:33,2018/11/19 11:42,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/19 11:33,2018/11/19 11:33,2018/11/19 11:44,2018/11/19 11:44,,2018/11/19 11:29,0:08:53,0:17:46,,00,03,,,,,
